ticket_id,requester_email,subject,status,priority,created_at,satisfaction_rating
ZD-5084,david.wilson85@example.com,Damaged item,pending,high,2026-07-13,
ZD-5085,noah.martin24@gmail.com,Loyalty points missing,solved,normal,2026-04-12,
ZD-5086,aiko.ali30@outlook.com,Refund request,solved,normal,2026-06-28,
ZD-5087,fatima.smith40@outlook.com,Where is my order,solved,normal,2026-04-25,
ZD-5088,olivia.sharma26@gmail.com,Sizing question,pending,normal,2026-04-18,
ZD-5089,zoe.chen56@outlook.com,Loyalty points missing,pending,normal,2026-05-21,
ZD-5090,noah.patel73@hotmail.com,Where is my order,solved,normal,2026-06-09,good
ZD-5091,liam.smith7@yahoo.com,Sizing question,open,normal,2026-05-18,good
ZD-5092,emma.novak4@hotmail.com,Loyalty points missing,solved,normal,2026-05-06,good
ZD-5093,aiko.tanaka29@outlook.com,Sizing question,pending,normal,2026-04-23,
ZD-5094,maria.obrien12@outlook.com,Where is my order,pending,normal,2026-07-07,good
ZD-5095,chen.lee64@hotmail.com,Damaged item,open,normal,2026-04-24,bad
ZD-5096,ethan.patel14@yahoo.com,Refund request,solved,normal,2026-06-04,good
ZD-5097,nina.brown30@yahoo.com,Refund request,pending,normal,2026-05-28,bad
ZD-5098,raj.khan32@yahoo.com,Loyalty points missing,pending,normal,2026-05-10,bad
ZD-5099,lucas.sharma45@hotmail.com,Damaged item,pending,normal,2026-07-28,bad
ZD-5100,mia.brown90@example.com,Where is my order,solved,normal,2026-05-16,good
ZD-5101,arjun.patel85@gmail.com,Loyalty points missing,pending,normal,2026-04-11,good
ZD-5102,tom.khan53@hotmail.com,Where is my order,solved,normal,2026-04-03,good
ZD-5103,maria.novak91@example.com,Sizing question,pending,normal,2026-07-26,good
ZD-5104,fatima.johnson58@yahoo.com,Loyalty points missing,solved,normal,2026-07-10,
ZD-5105,nina.martin12@hotmail.com,Sizing question,pending,high,2026-07-07,good
ZD-5106,nina.novak23@hotmail.com,Where is my order,pending,normal,2026-06-09,good
ZD-5107,aiko.novak67@outlook.com,Sizing question,solved,normal,2026-07-17,good
ZD-5108,mia.ali77@outlook.com,Where is my order,solved,high,2026-05-14,good
ZD-5109,tom.martin95@yahoo.com,Sizing question,open,high,2026-07-28,bad
ZD-5110,aiko.patel74@outlook.com,Sizing question,pending,normal,2026-07-03,good
ZD-5111,tom.martin81@outlook.com,Loyalty points missing,solved,normal,2026-07-04,good
ZD-5112,lucas.martin0@yahoo.com,Where is my order,solved,normal,2026-07-15,
ZD-5113,chen.brown89@example.com,Loyalty points missing,solved,high,2026-04-23,good
ZD-5114,nina.brown30@yahoo.com,Sizing question,pending,high,2026-07-01,
ZD-5115,david.anand64@gmail.com,Loyalty points missing,open,normal,2026-04-25,good
ZD-5116,aiko.ali30@outlook.com,Sizing question,solved,normal,2026-04-27,bad
ZD-5117,liam.costa39@yahoo.com,Where is my order,pending,normal,2026-07-17,good
ZD-5118,maria.kim1@outlook.com,Loyalty points missing,solved,normal,2026-06-17,good
ZD-5119,noah.gonzalez87@outlook.com,Where is my order,solved,normal,2026-06-15,good
ZD-5120,olivia.khan27@gmail.com,Damaged item,solved,high,2026-04-28,
ZD-5121,zoe.novak37@gmail.com,Loyalty points missing,solved,normal,2026-05-17,good
ZD-5122,david.sharma23@outlook.com,Where is my order,solved,normal,2026-07-18,good
ZD-5123,aiko.lee25@yahoo.com,Sizing question,solved,normal,2026-04-14,bad
ZD-5124,mia.brown90@example.com,Loyalty points missing,solved,high,2026-06-09,
ZD-5125,sara.patel21@gmail.com,Loyalty points missing,solved,high,2026-05-01,good
ZD-5126,tom.martin95@yahoo.com,Where is my order,pending,high,2026-06-14,good
ZD-5127,raj.tanaka74@hotmail.com,Damaged item,solved,normal,2026-04-04,
ZD-5128,tom.martin81@outlook.com,Refund request,open,normal,2026-07-13,good
ZD-5129,noah.garcia15@gmail.com,Where is my order,solved,normal,2026-06-28,bad
ZD-5130,tom.patel83@example.com,Damaged item,open,normal,2026-04-15,good
ZD-5131,chen.lee64@hotmail.com,Damaged item,solved,normal,2026-05-22,bad
ZD-5132,raj.anand9@gmail.com,Refund request,open,normal,2026-05-28,
ZD-5133,mia.novak13@hotmail.com,Where is my order,solved,normal,2026-04-10,good
ZD-5134,zoe.ali5@hotmail.com,Where is my order,solved,high,2026-04-25,bad
ZD-5135,priya.costa70@hotmail.com,Refund request,open,normal,2026-04-26,good
ZD-5136,mia.lopez96@gmail.com,Refund request,open,normal,2026-06-17,
ZD-5137,tom.kim71@example.com,Sizing question,solved,high,2026-06-15,bad
ZD-5138,ethan.lee16@outlook.com,Sizing question,solved,high,2026-05-09,
ZD-5139,fatima.obrien35@gmail.com,Damaged item,solved,high,2026-04-12,good
ZD-5140,olivia.novak80@gmail.com,Refund request,pending,normal,2026-05-25,good
ZD-5141,tom.tanaka29@outlook.com,Damaged item,solved,high,2026-06-28,good
ZD-5142,zoe.khan64@outlook.com,Damaged item,solved,normal,2026-06-21,bad
ZD-5143,ethan.smith60@example.com,Sizing question,open,normal,2026-06-19,good
ZD-5144,arjun.tanaka27@outlook.com,Where is my order,open,high,2026-07-24,
ZD-5145,sara.costa58@example.com,Damaged item,pending,normal,2026-04-22,
ZD-5146,sara.lopez7@hotmail.com,Damaged item,solved,high,2026-04-23,
ZD-5147,lucas.novak86@hotmail.com,Where is my order,solved,high,2026-06-10,bad
ZD-5148,arjun.tanaka73@outlook.com,Damaged item,open,normal,2026-06-01,bad
ZD-5149,tom.sharma17@outlook.com,Loyalty points missing,solved,normal,2026-06-20,good
ZD-5150,emma.ali91@gmail.com,Damaged item,open,normal,2026-05-22,good
ZD-5151,nina.brown34@outlook.com,Sizing question,solved,normal,2026-07-25,bad
ZD-5152,aiko.ali30@outlook.com,Sizing question,pending,normal,2026-06-19,good
ZD-5153,liam.chen92@hotmail.com,Damaged item,open,normal,2026-05-17,bad
ZD-5154,chen.ali75@gmail.com,Damaged item,solved,normal,2026-07-20,good
ZD-5155,arjun.brown8@yahoo.com,Sizing question,open,high,2026-06-28,
ZD-5156,chen.brown89@example.com,Loyalty points missing,solved,high,2026-06-19,bad
ZD-5157,david.novak42@yahoo.com,Damaged item,open,normal,2026-07-05,good
ZD-5158,zoe.chen56@outlook.com,Loyalty points missing,solved,normal,2026-07-04,good
ZD-5159,fatima.wilson71@gmail.com,Damaged item,solved,normal,2026-04-06,bad
ZD-5160,zoe.novak26@gmail.com,Sizing question,solved,high,2026-04-13,
ZD-5161,nina.novak63@example.com,Refund request,solved,normal,2026-05-22,bad
ZD-5162,ethan.tanaka9@yahoo.com,Damaged item,solved,normal,2026-06-27,
ZD-5163,lucas.gonzalez57@outlook.com,Refund request,solved,normal,2026-07-21,good
ZD-5164,emma.kim28@example.com,Damaged item,solved,normal,2026-06-18,good
ZD-5165,emma.johnson50@yahoo.com,Damaged item,solved,normal,2026-06-27,
ZD-5166,lucas.lee28@hotmail.com,Refund request,open,normal,2026-05-07,
ZD-5167,noah.gonzalez60@outlook.com,Sizing question,pending,normal,2026-04-18,
ZD-5168,ethan.patel0@gmail.com,Where is my order,solved,high,2026-04-01,bad
ZD-5169,ethan.patel0@gmail.com,Where is my order,solved,normal,2026-04-16,good
ZD-5170,liam.chen92@hotmail.com,Damaged item,pending,high,2026-06-25,good
ZD-5171,arjun.costa47@gmail.com,Loyalty points missing,pending,high,2026-05-08,bad
ZD-5172,lucas.khan90@hotmail.com,Sizing question,open,high,2026-05-28,good
ZD-5173,zoe.ali51@yahoo.com,Sizing question,open,high,2026-06-21,good
ZD-5174,mia.gonzalez45@outlook.com,Where is my order,solved,normal,2026-05-20,good
ZD-5175,arjun.costa47@gmail.com,Where is my order,solved,normal,2026-05-02,good
ZD-5176,priya.patel13@example.com,Damaged item,open,normal,2026-05-22,good
ZD-5177,tom.kim71@example.com,Refund request,pending,normal,2026-07-19,good
ZD-5178,lucas.smith94@gmail.com,Where is my order,solved,high,2026-07-17,good
ZD-5179,ethan.anand44@hotmail.com,Where is my order,solved,high,2026-06-10,bad
ZD-5180,lucas.garcia72@gmail.com,Where is my order,pending,normal,2026-07-13,good
ZD-5181,noah.novak91@outlook.com,Damaged item,solved,high,2026-04-18,good
ZD-5182,emma.ali56@yahoo.com,Loyalty points missing,open,normal,2026-06-06,bad
ZD-5183,lucas.lee28@hotmail.com,Damaged item,pending,normal,2026-05-24,bad
ZD-5184,olivia.lee60@yahoo.com,Damaged item,open,normal,2026-07-21,good
ZD-5185,lucas.brown4@yahoo.com,Refund request,pending,high,2026-07-14,good
ZD-5186,chen.gonzalez32@hotmail.com,Loyalty points missing,solved,high,2026-04-22,bad
ZD-5187,arjun.obrien33@outlook.com,Damaged item,solved,high,2026-05-10,bad
ZD-5188,aiko.ali75@outlook.com,Sizing question,open,normal,2026-06-13,good
ZD-5189,noah.gonzalez60@outlook.com,Loyalty points missing,solved,normal,2026-04-26,
ZD-5190,lucas.anand72@example.com,Sizing question,pending,normal,2026-05-07,
ZD-5191,david.lee5@yahoo.com,Refund request,pending,high,2026-04-28,bad
ZD-5192,chen.lopez40@hotmail.com,Loyalty points missing,pending,normal,2026-07-22,good
ZD-5193,mia.sharma62@yahoo.com,Loyalty points missing,solved,normal,2026-05-08,good
ZD-5194,liam.costa39@yahoo.com,Sizing question,pending,normal,2026-05-02,good
ZD-5195,lucas.sharma45@hotmail.com,Refund request,solved,normal,2026-06-02,bad
ZD-5196,emma.tanaka54@outlook.com,Where is my order,solved,high,2026-07-16,
ZD-5197,noah.ali70@yahoo.com,Loyalty points missing,solved,normal,2026-05-02,
ZD-5198,fatima.lopez46@hotmail.com,Damaged item,solved,high,2026-07-22,
ZD-5199,emma.tanaka54@outlook.com,Sizing question,pending,high,2026-06-27,bad
