customer_id,first_name,last_name,email,phone,city,state,zip,country,loyalty_no,created_at,updated_at,accepts_marketing
SH-20089,Lucas,Sharma,lucas.sharma89@yahoo.com,(942) 555-7511,Austin,TX,78701,US,LY-70089,2025-06-03,2026-07-13,true
SH-20090,Emma,Anand,emma.anand90@hotmail.com,(967) 555-5295,San Jose,CA,95112,US,LY-70090,2025-06-04,2026-06-08,false
SH-20091,Maria,Novak,maria.novak91@example.com,,Seattle,WA,98101,US,,2024-12-10,2026-06-14,true
SH-20092,Aiko,Chen,aiko.chen92@outlook.com,(319) 555-2592,New York,NY,10001,US,,2025-03-13,2026-04-12,false
SH-20093,Arjun,Tanaka,arjun.tanaka93@gmail.com,(831) 555-7686,Chicago,IL,60601,US,LY-70093,2024-01-23,2026-03-07,false
SH-20094,Lucas,Smith,lucas.smith94@gmail.com,(577) 555-9920,Seattle,WA,98101,US,LY-70094,2025-06-02,2026-04-09,true
SH-20095,Tom,Martin,tom.martin95@yahoo.com,(812) 555-1349,San Jose,CA,95112,US,,2024-04-05,2026-07-19,true
SH-20096,Priya,Anand,priya.anand96@example.com,,Boston,MA,02108,US,LY-70096,2024-03-26,2026-05-01,false
SH-20097,Aiko,Tanaka,aiko.tanaka0@yahoo.com,,Denver,CO,80202,US,LY-70097,2023-01-12,2026-07-26,true
SH-20098,Arjun,Garcia,arjun.garcia1@yahoo.com,(330) 555-7897,New York,NY,10001,US,LY-70098,2025-02-16,2026-04-25,false
SH-20099,Ethan,Costa,ethan.costa2@hotmail.com,(830) 555-1710,San Jose,CA,95112,US,LY-70099,2025-09-10,2026-04-21,true
SH-20100,James,Lopez,james.lopez3@hotmail.com,(703) 555-8267,Chicago,IL,60601,US,,2023-06-20,2026-02-03,true
SH-20101,Emma,Novak,emma.novak4@hotmail.com,(744) 555-5831,Seattle,WA,98101,US,LY-70101,2025-07-04,2026-07-23,true
SH-20102,Zoe,Ali,zoe.ali5@hotmail.com,(624) 555-6553,Chicago,IL,60601,US,LY-70102,2024-07-24,2026-01-11,false
SH-20103,Olivia,Johnson,olivia.johnson6@yahoo.com,(686) 555-2099,Seattle,WA,98101,US,,2023-02-14,2026-01-24,false
SH-20104,Aiko,Anand,aiko.anand7@example.com,(776) 555-6400,New York,NY,10001,US,LY-70104,2024-06-28,2026-06-25,false
SH-20105,James,Patel,james.patel8@outlook.com,,Denver,CO,80202,US,LY-70105,2023-11-16,2026-02-28,true
SH-20106,Raj,Anand,raj.anand9@gmail.com,(788) 555-4705,Seattle,WA,98101,US,LY-70106,2025-10-20,2026-06-21,true
SH-20107,Nina,Johnson,nina.johnson10@yahoo.com,(981) 555-6062,New York,NY,10001,US,LY-70107,2024-01-06,2026-07-05,false
SH-20108,Priya,Tanaka,priya.tanaka11@gmail.com,(421) 555-7163,New York,NY,10001,US,LY-70108,2024-03-12,2026-03-24,false
SH-20109,Arjun,Novak,arjun.novak12@gmail.com,,San Jose,CA,95112,US,LY-70109,2023-11-03,2026-03-15,false
SH-20110,Mia,Novak,mia.novak13@hotmail.com,(974) 555-9394,Miami,FL,33101,US,,2024-02-10,2026-06-22,false
SH-20111,Ethan,Patel,ethan.patel14@yahoo.com,(814) 555-1897,New York,NY,10001,US,,2024-04-25,2026-02-25,false
SH-20112,Noah,Garcia,noah.garcia15@gmail.com,(641) 555-3878,San Jose,CA,95112,US,,2025-12-08,2026-05-18,false
SH-20113,Priya,Brown,priya.brown16@hotmail.com,,New York,NY,10001,US,LY-70113,2024-10-14,2026-05-13,false
SH-20114,Noah,OBrien,noah.obrien17@gmail.com,(376) 555-8538,Chicago,IL,60601,US,LY-70114,2024-02-14,2026-07-04,true
SH-20115,Fatima,Costa,fatima.costa18@example.com,,Chicago,IL,60601,US,LY-70115,2025-06-08,2026-03-25,true
SH-20116,Priya,Wilson,priya.wilson19@example.com,(558) 555-6752,San Jose,CA,95112,US,LY-70116,2025-03-08,2026-01-05,false
SH-20117,Sara,Kim,sara.kim20@gmail.com,,Austin,TX,78701,US,LY-70117,2024-08-25,2026-05-25,false
SH-20118,Arjun,Novak,arjun.novak21@outlook.com,,Seattle,WA,98101,US,,2024-11-10,2026-07-09,true
SH-20119,Raj,Wilson,raj.wilson22@outlook.com,(239) 555-1932,San Jose,CA,95112,US,LY-70119,2024-02-21,2026-07-28,true
SH-20120,Nina,Novak,nina.novak23@hotmail.com,(957) 555-1672,Chicago,IL,60601,US,LY-70120,2025-11-07,2026-03-20,false
SH-20121,Ethan,Tanaka,ethan.tanaka24@hotmail.com,,New York,NY,10001,US,LY-70121,2024-12-03,2026-05-21,true
SH-20122,James,Smith,james.smith25@hotmail.com,(825) 555-3600,Miami,FL,33101,US,LY-70122,2024-07-14,2026-07-11,true
SH-20123,Olivia,Sharma,olivia.sharma26@gmail.com,(596) 555-5655,Seattle,WA,98101,US,,2025-10-28,2026-02-11,true
SH-20124,Arjun,Tanaka,arjun.tanaka27@outlook.com,(916) 555-7421,Seattle,WA,98101,US,,2025-02-10,2026-05-13,false
SH-20125,Aiko,Wilson,aiko.wilson28@hotmail.com,(219) 555-6940,San Jose,CA,95112,US,LY-70125,2023-06-25,2026-04-07,true
SH-20126,Aiko,Tanaka,aiko.tanaka29@outlook.com,(304) 555-9317,San Jose,CA,95112,US,LY-70126,2025-09-02,2026-06-11,true
SH-20127,Nina,Brown,nina.brown30@yahoo.com,,Austin,TX,78701,US,LY-70127,2025-03-24,2026-04-02,false
SH-20128,Raj,Smith,raj.smith31@example.com,(967) 555-8355,Miami,FL,33101,US,,2023-05-26,2026-07-16,true
SH-20129,Raj,Costa,raj.costa32@hotmail.com,(592) 555-9239,Miami,FL,33101,US,LY-70129,2023-04-26,2026-05-05,false
SH-20130,James,Lopez,james.lopez33@example.com,(929) 555-9452,Seattle,WA,98101,US,LY-70130,2024-02-25,2026-02-09,false
SH-20131,Ethan,Tanaka,ethan.tanaka34@gmail.com,(428) 555-8391,Chicago,IL,60601,US,LY-70131,2023-07-02,2026-04-17,false
SH-20132,Liam,Brown,liam.brown35@outlook.com,,San Jose,CA,95112,US,LY-70132,2023-12-21,2026-03-26,true
SH-20133,Aiko,Chen,aiko.chen36@hotmail.com,(343) 555-8685,Denver,CO,80202,US,LY-70133,2023-02-01,2026-03-07,true
SH-20134,Zoe,Novak,zoe.novak37@gmail.com,(444) 555-5934,Chicago,IL,60601,US,,2023-07-21,2026-07-20,false
SH-20135,Priya,OBrien,priya.obrien38@example.com,(848) 555-9443,Miami,FL,33101,US,LY-70135,2025-03-10,2026-04-01,false
SH-20136,Liam,Costa,liam.costa39@yahoo.com,(288) 555-9576,Chicago,IL,60601,US,LY-70136,2023-09-18,2026-05-26,true
SH-20137,Chen,Lopez,chen.lopez40@hotmail.com,(460) 555-1266,New York,NY,10001,US,LY-70137,2023-06-08,2026-06-22,true
SH-20138,Arjun,Garcia,arjun.garcia41@gmail.com,(547) 555-3868,Austin,TX,78701,US,LY-70138,2025-08-23,2026-04-21,true
SH-20139,Aiko,Sharma,aiko.sharma42@gmail.com,(245) 555-4268,Miami,FL,33101,US,LY-70139,2024-05-17,2026-04-27,false
SH-20140,Emma,Chen,emma.chen43@outlook.com,(249) 555-6438,Boston,MA,02108,US,,2024-07-13,2026-06-15,false
SH-20141,Olivia,Kim,olivia.kim44@hotmail.com,(732) 555-5369,Miami,FL,33101,US,LY-70141,2025-07-03,2026-04-20,true
SH-20142,Zoe,Patel,zoe.patel45@gmail.com,,Seattle,WA,98101,US,LY-70142,2024-08-20,2026-06-14,true
SH-20143,Lucas,Lee,lucas.lee46@gmail.com,(562) 555-8126,Miami,FL,33101,US,,2023-02-22,2026-06-13,false
SH-20144,Ethan,Kim,ethan.kim47@yahoo.com,(895) 555-8179,New York,NY,10001,US,,2023-04-25,2026-06-12,false
SH-20145,Chen,Costa,chen.costa48@example.com,,New York,NY,10001,US,LY-70145,2024-06-15,2026-07-03,true
SH-20146,Ethan,Lee,ethan.lee49@outlook.com,(456) 555-2858,Chicago,IL,60601,US,,2023-08-17,2026-04-18,true
SH-20147,Emma,Johnson,emma.johnson50@yahoo.com,(493) 555-9047,Miami,FL,33101,US,,2023-02-15,2026-02-23,false
SH-20148,Priya,Garcia,priya.garcia51@gmail.com,(498) 555-5914,Seattle,WA,98101,US,LY-70148,2025-12-23,2026-06-06,false
SH-20149,Ethan,Smith,ethan.smith52@yahoo.com,(443) 555-9094,San Jose,CA,95112,US,,2025-10-12,2026-04-26,true
SH-20150,Nina,Sharma,nina.sharma53@outlook.com,(935) 555-8842,San Jose,CA,95112,US,LY-70150,2024-10-03,2026-02-11,true
SH-20151,Lucas,Martin,lucas.martin54@yahoo.com,(765) 555-3981,Seattle,WA,98101,US,LY-70151,2023-07-17,2026-07-02,true
SH-20152,Ethan,Tanaka,ethan.tanaka55@yahoo.com,,Denver,CO,80202,US,LY-70152,2023-06-17,2026-03-28,true
SH-20153,Emma,Ali,emma.ali56@yahoo.com,(830) 555-9740,Denver,CO,80202,US,,2025-03-19,2026-05-05,true
SH-20154,Nina,Novak,nina.novak57@example.com,,Seattle,WA,98101,US,LY-70154,2023-01-21,2026-07-19,false
SH-20155,Sara,Costa,sara.costa58@example.com,(710) 555-9938,Chicago,IL,60601,US,,2024-08-08,2026-07-26,false
SH-20156,Noah,Martin,noah.martin59@gmail.com,,San Jose,CA,95112,US,LY-70156,2024-04-11,2026-05-05,false
SH-20157,Olivia,Lee,olivia.lee60@yahoo.com,(728) 555-2739,Chicago,IL,60601,US,LY-70157,2024-02-09,2026-04-08,true
SH-20158,Tom,Chen,tom.chen61@hotmail.com,(629) 555-5067,Denver,CO,80202,US,LY-70158,2023-06-19,2026-06-11,true
SH-20159,David,Lopez,david.lopez62@hotmail.com,(710) 555-1379,Miami,FL,33101,US,,2024-09-15,2026-02-07,false
SH-20160,James,Chen,james.chen63@hotmail.com,(870) 555-8710,Denver,CO,80202,US,,2023-02-14,2026-02-09,false
SH-20161,Chen,Lee,chen.lee64@hotmail.com,,New York,NY,10001,US,LY-70161,2024-09-10,2026-01-13,false
SH-20162,Zoe,Johnson,zoe.johnson65@yahoo.com,(604) 555-7114,San Jose,CA,95112,US,LY-70162,2024-09-12,2026-07-05,true
SH-20163,Nina,Wilson,nina.wilson66@example.com,,Chicago,IL,60601,US,,2025-06-26,2026-04-17,false
SH-20164,Aiko,Novak,aiko.novak67@outlook.com,(527) 555-3662,Austin,TX,78701,US,LY-70164,2025-12-27,2026-03-19,false
SH-20165,Ethan,Wilson,ethan.wilson68@example.com,(218) 555-7035,Miami,FL,33101,US,LY-70165,2023-07-19,2026-03-26,true
SH-20166,Nina,Lopez,nina.lopez69@example.com,(939) 555-1841,Denver,CO,80202,US,LY-70166,2023-09-21,2026-06-20,false
SH-20167,Aiko,Smith,aiko.smith70@example.com,(313) 555-4125,New York,NY,10001,US,,2024-07-05,2026-04-23,true
SH-20168,Fatima,Wilson,fatima.wilson71@gmail.com,(732) 555-4397,Miami,FL,33101,US,LY-70168,2025-08-17,2026-04-11,true
SH-20169,Lucas,Anand,lucas.anand72@example.com,(939) 555-5331,Seattle,WA,98101,US,LY-70169,2023-04-09,2026-05-10,true
SH-20170,Noah,Patel,noah.patel73@hotmail.com,(558) 555-5480,Boston,MA,02108,US,,2025-11-18,2026-04-13,false
SH-20171,Aiko,Patel,aiko.patel74@outlook.com,(281) 555-6674,New York,NY,10001,US,LY-70171,2025-05-24,2026-04-07,true
SH-20172,Zoe,Johnson,zoe.johnson75@yahoo.com,,Denver,CO,80202,US,LY-70172,2023-04-02,2026-06-17,true
SH-20173,Liam,Chen,liam.chen76@hotmail.com,(684) 555-2647,San Jose,CA,95112,US,LY-70173,2023-01-18,2026-02-14,false
SH-20174,Mia,Ali,mia.ali77@outlook.com,(261) 555-2465,Denver,CO,80202,US,LY-70174,2023-09-24,2026-06-28,true
SH-20175,David,Khan,david.khan78@gmail.com,(607) 555-9116,Austin,TX,78701,US,,2025-05-02,2026-01-10,true
SH-20176,Olivia,Patel,olivia.patel79@example.com,(338) 555-9261,Miami,FL,33101,US,LY-70176,2023-02-11,2026-02-24,false
SH-20177,Emma,Kim,emma.kim80@outlook.com,(782) 555-4164,New York,NY,10001,US,,2025-07-27,2026-04-17,false
SH-20178,Priya,Brown,priya.brown81@yahoo.com,(689) 555-6301,San Jose,CA,95112,US,LY-70178,2023-05-13,2026-02-15,false
SH-20179,Olivia,Patel,olivia.patel82@outlook.com,(910) 555-4871,New York,NY,10001,US,,2023-08-10,2026-02-13,false
SH-20180,Tom,Patel,tom.patel83@example.com,,Seattle,WA,98101,US,LY-70180,2024-03-15,2026-06-20,false
SH-20181,Fatima,Anand,fatima.anand84@example.com,(424) 555-5054,Miami,FL,33101,US,LY-70181,2025-02-17,2026-04-17,false
SH-20182,Priya,Costa,priya.costa85@gmail.com,(718) 555-4312,San Jose,CA,95112,US,LY-70182,2023-03-11,2026-07-17,false
SH-20183,Tom,Ali,tom.ali86@gmail.com,(657) 555-1911,Miami,FL,33101,US,LY-70183,2025-07-15,2026-05-02,false
SH-20184,Noah,Gonzalez,noah.gonzalez87@outlook.com,(964) 555-4570,Chicago,IL,60601,US,LY-70184,2023-07-12,2026-06-03,true
SH-20185,Priya,Lopez,priya.lopez88@outlook.com,(988) 555-3218,New York,NY,10001,US,LY-70185,2025-11-14,2026-03-13,false
SH-20186,Chen,Brown,chen.brown89@example.com,,San Jose,CA,95112,US,LY-70186,2023-03-18,2026-04-17,true
SH-20187,Liam,Gonzalez,liam.gonzalez90@outlook.com,(937) 555-9920,New York,NY,10001,US,LY-70187,2024-04-08,2026-04-12,true
SH-20188,Emma,Ali,emma.ali91@gmail.com,(630) 555-1256,San Jose,CA,95112,US,,2023-02-20,2026-01-15,true
SH-20189,Liam,Chen,liam.chen92@hotmail.com,,Chicago,IL,60601,US,,2023-03-17,2026-03-08,false
SH-20190,Arjun,Novak,arjun.novak93@yahoo.com,(347) 555-9540,Seattle,WA,98101,US,,2024-05-02,2026-05-19,true
SH-20191,Fatima,Anand,fatima.anand94@gmail.com,(859) 555-7244,Miami,FL,33101,US,LY-70191,2024-12-14,2026-04-05,false
SH-20192,Chen,Kim,chen.kim95@yahoo.com,(508) 555-3365,Miami,FL,33101,US,LY-70192,2023-09-14,2026-04-18,true
SH-20193,Chen,Smith,chen.smith96@yahoo.com,(281) 555-8369,Denver,CO,80202,US,LY-70193,2023-09-24,2026-07-07,true
SH-20194,Emma,Brown,emma.brown0@gmail.com,,New York,NY,10001,US,LY-70194,2025-11-18,2026-02-16,true
SH-20195,Olivia,Patel,olivia.patel1@yahoo.com,(960) 555-2922,New York,NY,10001,US,LY-70195,2024-04-23,2026-05-23,true
SH-20196,Chen,Smith,chen.smith2@outlook.com,(747) 555-6886,Seattle,WA,98101,US,LY-70196,2024-09-16,2026-04-04,false
SH-20197,Olivia,Ali,olivia.ali3@outlook.com,(777) 555-4625,Seattle,WA,98101,US,LY-70197,2023-05-18,2026-05-19,false
SH-20198,Noah,Tanaka,noah.tanaka4@outlook.com,,Boston,MA,02108,US,LY-70198,2023-08-18,2026-06-22,false
SH-20199,Emma,Lopez,emma.lopez5@hotmail.com,,Miami,FL,33101,US,LY-70199,2023-03-24,2026-05-16,true
SH-20200,Zoe,Chen,zoe.chen6@gmail.com,(885) 555-1794,New York,NY,10001,US,LY-70200,2024-03-27,2026-06-08,true
SH-20201,Aiko,Gonzalez,aiko.gonzalez7@example.com,(262) 555-8916,Boston,MA,02108,US,LY-70201,2023-01-18,2026-05-14,true
